,0,1,2
951,247,247,247
952,247,247,247
953,247,247,247
954,247,247,247
955,247,247,247
956,247,247,247
957,247,247,247
958,247,247,247
959,247,247,247
960,247,247,247
961,247,247,247
962,247,247,247
963,247,247,247
964,247,247,247
965,247,247,247
966,247,247,247
967,247,247,247
968,247,247,247
969,247,247,247
970,247,247,247
971,247,247,247
972,247,247,247
973,247,247,247
974,247,247,247
975,247,247,247
976,247,247,247
977,247,247,247
978,247,247,247
979,247,247,247
980,247,247,247
981,247,247,247
982,247,247,247
983,247,247,247
984,247,247,247
985,247,247,247
986,247,247,247
987,247,247,247
988,247,247,247
989,247,247,247
990,247,247,247
991,247,247,247
992,247,247,247
993,247,247,247
994,247,247,247
995,246,246,246
996,246,246,246
997,246,246,246
998,247,247,247
999,247,247,247
1000,247,247,247
1001,247,247,247
1002,247,247,247
1003,247,247,247
1004,247,247,247
1005,247,247,247
1006,247,247,247
1007,247,247,247
1008,246,246,246
1009,246,246,246
1010,246,246,246
1011,246,246,246
1012,246,246,246
1013,246,246,246
1014,246,246,246
1015,246,246,246
1016,246,246,246
1017,246,246,246
1018,246,246,246
1019,246,246,246
1020,246,246,246
1021,246,246,246
1022,246,246,246
1023,246,246,246
1024,246,246,246
1025,246,246,246
1026,246,246,246
1027,246,246,246
1028,246,246,246
1029,246,246,246
1030,246,246,246
1031,246,246,246
1032,246,246,246
1033,246,246,246
1034,246,246,246
1035,246,246,246
1036,246,246,246
1037,246,246,246
1038,246,246,246
1039,246,246,246
1040,246,246,246
1041,246,246,246
1042,246,246,246
1043,246,246,246
1044,246,246,246
1045,246,246,246
1046,246,246,246
1047,246,246,246
1048,246,246,246
1049,246,246,246
1050,246,246,246
1051,246,246,246
1052,246,246,246
1053,246,246,246
1054,246,246,246
1055,246,246,246
1056,246,246,246
1057,246,246,246
1058,246,246,246
1059,246,246,246
1060,246,246,246
1061,246,246,246
1062,246,246,246
1063,246,246,246
1064,246,246,246
1065,246,246,246
1066,246,246,246
1067,246,246,246
1068,246,246,246
1069,246,246,246
1070,246,246,246
1071,246,246,246
1072,246,246,246
1073,246,246,246
1074,246,246,246
1075,246,246,246
1076,246,246,246
1077,246,246,246
1078,246,246,246
1079,246,246,246
1080,246,246,246
1081,246,246,246
1082,246,246,246
1083,246,246,246
1084,246,246,246
1085,246,246,246
1086,246,246,246
1087,246,246,246
1088,246,246,246
1089,246,246,246
1090,246,246,246
1091,246,246,246
1092,246,246,246
1093,246,246,246
1094,246,246,246
1095,246,246,246
1096,246,246,246
1097,246,246,246
1098,246,246,246
